factid,yearid,locationid,topicid,questionid,stratificationid,datavalue,lowconfidence,highconfidence,samplesize
10141,7,16,PA,Q047,AGEYR5564,28.5,24.9,32.5,981
10142,7,30,FV,Q018,INC75PLUS,33.1,29.6,36.9,1170
10143,7,34,OWS,Q037,AGEYR1824,22.2,17.3,28.1,440
10144,7,30,OWS,Q036,EDUCOGRAD,23.1,20.6,25.8,1774
10145,7,40,PA,Q045,EDUHS,21.6,16.7,27.3,403
10146,7,56,OWS,Q036,AGEYR4554,37.7,33.0,42.6,527
10147,7,41,OWS,Q037,INC2535,35.2,30.1,40.6,452
10148,7,21,OWS,Q036,AGEYR1824,20.3,16.1,25.3,552
10149,7,51,PA,Q046,EDUCOGRAD,40.2,38.0,42.4,3916
10150,7,56,OWS,Q037,FEMALE,30.0,27.5,32.5,2162
10151,7,26,FV,Q019,RACEWHT,17.4,16.4,18.6,8155
10152,7,29,OWS,Q036,MALE,31.5,29.3,33.7,3119
10153,7,26,OWS,Q037,EDUHS,31.5,26.7,36.7,484
10154,7,18,OWS,Q036,INC3550,35.3,32.3,38.4,1774
10155,7,22,PA,Q043,RACEWHT,48.3,46.0,50.6,2780
10156,7,26,PA,Q043,OVERALL,49.5,48.2,50.8,9957
10157,7,22,PA,Q047,MALE,30.2,27.5,33.0,1797
10158,7,32,FV,Q018,RACEBLK,42.5,33.7,51.7,163
10159,7,24,OWS,Q037,OVERALL,34.9,33.6,36.3,12386
10160,7,27,PA,Q043,INCLESS15,41.1,36.4,45.9,819
10161,7,49,PA,Q044,FEMALE,22.1,20.6,23.7,4839
10162,7,40,PA,Q044,AGEYR4554,12.8,10.3,15.7,745
10163,7,25,PA,Q043,INCLESS15,35.6,28.1,43.8,349
10164,7,6,OWS,Q036,AGEYR1824,12.7,9.8,16.3,797
10165,7,35,PA,Q047,RACE2PLUS,11.9,5.4,24.2,68
10166,7,20,PA,Q047,INCLESS15,40.9,37.3,44.5,1184
10167,7,10,PA,Q046,RACEHIS,20.5,15.7,26.3,387
10168,7,22,PA,Q044,RACEBLK,16.7,13.6,20.3,924
10169,7,6,PA,Q046,INC3550,32.9,28.2,38.0,742
10170,7,12,PA,Q047,AGEYR1824,17.1,13.2,21.8,1249
10171,7,49,FV,Q018,RACEHIS,32.8,28.9,37.0,774
10172,7,21,PA,Q046,INC2535,22.7,17.7,28.7,569
10173,7,29,PA,Q047,INC2535,36.0,31.1,41.2,698
10174,7,6,PA,Q044,INCNR,25.0,21.1,29.3,935
10175,7,49,PA,Q047,INC3550,21.7,18.7,25.0,1177
10176,7,45,FV,Q019,RACEHIS,37.4,30.3,45.2,284
10177,7,27,PA,Q047,AGEYR1824,17.5,14.7,20.7,1041
10178,7,72,PA,Q043,AGEYR65PLUS,17.1,14.7,19.8,1477
10179,7,10,PA,Q047,INC75PLUS,19.2,16.1,22.8,978
10180,4,72,OWS,Q036,MALE,26.8,24.5,29.2,2115
10181,7,35,FV,Q019,OVERALL,20.5,19.0,22.0,5818
10182,7,10,OWS,Q036,AGEYR65PLUS,33.9,30.6,37.3,1287
10183,7,9,FV,Q019,RACEWHT,13.2,12.1,14.5,7419
10184,7,55,PA,Q047,EDUHSGRAD,27.9,25.0,31.1,1497
10185,7,15,PA,Q044,FEMALE,19.5,17.7,21.3,3671
10186,7,36,FV,Q019,EDUHS,37.1,33.1,41.4,895
10187,7,28,FV,Q018,AGEYR4554,50.2,45.3,55.0,680
10188,7,9,OWS,Q036,EDUHSGRAD,31.3,28.8,33.9,2246
10189,7,27,FV,Q018,AGEYR5564,31.2,29.3,33.1,3472
10190,7,35,PA,Q046,EDUHS,17.7,13.8,22.3,636
10191,7,31,PA,Q047,EDUHS,44.2,39.3,49.2,889
10192,7,18,PA,Q047,AGEYR5564,32.8,30.7,34.9,2790
10193,7,32,FV,Q019,AGEYR5564,17.8,13.7,22.9,708
10194,7,40,PA,Q047,INC2535,33.2,28.6,38.3,592
10195,7,39,PA,Q045,EDUHSGRAD,29.6,27.5,31.9,3875
10196,7,18,FV,Q018,AGEYR2534,41.0,37.7,44.4,1090
10197,7,56,PA,Q047,INC1525,34.1,29.3,39.3,583
10198,7,42,OWS,Q037,RACEBLK,34.8,29.8,40.1,517
10199,7,24,FV,Q018,RACEBLK,39.3,36.4,42.3,2308
10200,7,22,PA,Q045,RACEBLK,22.9,19.6,26.6,936
10201,7,51,OWS,Q037,INCLESS15,29.7,24.4,35.7,520
10202,7,12,PA,Q043,EDUHS,33.9,29.6,38.5,2048
10203,7,1,PA,Q046,EDUCOGRAD,32.9,30.1,35.8,1807
10204,7,25,OWS,Q036,AGEYR1824,9.5,6.5,13.7,400
10205,7,36,PA,Q044,INC5075,19.7,16.9,22.9,1219
10206,7,20,PA,Q047,INC1525,36.4,34.0,39.0,2457
10207,7,36,FV,Q019,AGEYR65PLUS,19.2,17.2,21.3,3265
10208,7,53,PA,Q043,INC3550,55.5,52.0,58.9,1493
10209,7,50,FV,Q018,INCLESS15,43.1,35.7,50.8,394
10210,7,11,FV,Q018,FEMALE,28.7,26.1,31.5,2337
10211,7,37,FV,Q019,RACE2PLUS,18.0,9.1,32.4,62
10212,7,1,FV,Q019,OVERALL,19.3,17.9,20.7,6046
10213,7,11,OWS,Q037,RACEBLK,31.3,29.1,33.6,2324
10214,7,26,PA,Q043,INC3550,49.6,46.1,53.1,1272
10215,7,51,PA,Q043,RACENAA,48.1,31.0,65.8,80
10216,7,19,PA,Q047,EDUHS,36.5,30.8,42.7,322
10217,7,15,PA,Q044,INC75PLUS,28.0,25.6,30.5,2383
10218,7,54,OWS,Q036,OVERALL,38.1,36.4,39.7,5116
10219,7,39,PA,Q043,FEMALE,46.9,45.0,48.8,6512
10220,7,34,PA,Q044,RACEOTH,13.7,6.6,26.2,57
10221,7,54,PA,Q044,EDUHSGRAD,13.5,11.5,15.8,1787
10222,7,9,OWS,Q037,OVERALL,36.4,35.0,37.7,9505
10223,7,8,PA,Q043,AGEYR1824,59.0,54.2,63.6,514
10224,7,1,PA,Q044,RACEWHT,15.8,14.3,17.4,4022
10225,7,30,OWS,Q037,RACENAA,37.4,30.7,44.6,604
10226,7,19,PA,Q044,AGEYR65PLUS,15.6,14.0,17.3,2248
10227,7,42,PA,Q043,INC75PLUS,60.1,57.2,63.0,1883
10228,7,18,PA,Q046,INC1525,21.9,19.3,24.6,2012
10229,7,20,PA,Q045,FEMALE,29.6,28.4,30.7,10018
10230,7,31,FV,Q018,RACE2PLUS,48.9,36.0,62.0,136
10231,7,13,PA,Q047,RACE2PLUS,32.3,21.8,45.0,96
10232,5,72,PA,Q043,AGEYR5564,29.3,26.0,32.8,999
10233,7,50,OWS,Q036,INCNR,21.2,17.6,25.2,827
10234,7,33,OWS,Q037,AGEYR3544,35.3,29.7,41.3,461
10235,7,17,PA,Q044,INC75PLUS,25.9,23.5,28.4,1816
10236,7,8,FV,Q018,RACEBLK,44.7,37.0,52.7,229
10237,7,9,PA,Q043,RACE2PLUS,55.1,41.3,68.1,112
10238,7,41,FV,Q018,MALE,37.1,34.7,39.5,2088
10239,7,8,OWS,Q036,AGEYR5564,26.2,24.0,28.6,1974
10240,7,26,OWS,Q037,RACE2PLUS,31.2,24.2,39.1,224
10241,7,4,PA,Q044,INC5075,22.7,20.3,25.3,1864
10242,7,17,OWS,Q036,EDUHSGRAD,33.0,29.8,36.3,1245
10243,7,47,PA,Q047,AGEYR65PLUS,35.0,32.0,38.1,1690
10244,7,42,PA,Q046,AGEYR2534,36.8,32.6,41.2,762
10245,7,50,PA,Q046,AGEYR2534,36.1,31.0,41.6,495
10246,7,47,PA,Q045,INCLESS15,25.8,20.0,32.7,550
10247,7,6,OWS,Q037,RACENAA,42.3,27.9,58.1,80
10248,7,12,FV,Q018,INC3550,35.0,30.5,39.8,2471
10249,7,4,PA,Q043,RACEHIS,47.3,44.7,50.0,2004
10250,5,72,OWS,Q037,OVERALL,37.5,35.9,39.1,5154
10251,7,5,FV,Q019,RACEHIS,30.0,16.0,49.1,69
10252,7,22,OWS,Q036,INC3550,38.8,32.9,45.1,483
10253,7,39,PA,Q046,INC2535,24.8,20.8,29.1,1151
10254,7,40,FV,Q018,RACENAA,45.9,39.5,52.4,350
10255,7,31,FV,Q018,AGEYR3544,36.3,33.0,39.8,1640
10256,7,1,FV,Q018,INCNR,47.4,43.4,51.4,1235
10257,7,36,OWS,Q037,INC3550,34.4,30.8,38.1,1243
10258,7,15,OWS,Q037,EDUCOTEC,37.5,34.7,40.3,2108
10259,7,48,PA,Q044,RACE2PLUS,11.2,5.9,20.0,131
10260,7,4,FV,Q018,RACEWHT,37.3,36.1,38.5,10011
10261,7,44,OWS,Q036,FEMALE,29.0,26.5,31.6,2843
10262,7,72,PA,Q045,EDUHS,8.3,6.2,11.0,839
10263,7,30,PA,Q043,AGEYR3544,54.7,49.5,59.8,555
10264,7,49,PA,Q043,INC1525,43.5,39.4,47.6,934
10265,7,25,PA,Q043,INC2535,41.6,34.2,49.3,417
10266,7,21,PA,Q046,RACE2PLUS,35.4,24.3,48.4,174
10267,7,36,PA,Q044,RACEWHT,21.2,19.9,22.6,7020
10268,7,38,OWS,Q036,AGEYR3544,38.5,34.2,42.9,656
10269,7,28,OWS,Q036,EDUCOTEC,37.8,34.3,41.5,1339
10270,7,2,PA,Q043,EDUCOTEC,59.0,53.6,64.1,820
10271,7,30,OWS,Q037,AGEYR3544,33.9,29.2,38.9,559
10272,7,34,FV,Q019,RACEWHT,14.9,13.5,16.5,7255
10273,7,41,PA,Q044,OVERALL,22.3,20.9,23.8,4579
10274,7,50,FV,Q018,AGEYR1824,29.9,23.6,37.2,265
10275,7,26,FV,Q019,EDUCOTEC,18.0,16.4,19.7,3047
10276,7,42,OWS,Q037,INCNR,34.5,29.6,39.6,716
10277,7,28,PA,Q046,EDUCOTEC,29.9,26.3,33.8,1262
10278,7,29,OWS,Q036,AGEYR5564,37.2,33.9,40.6,1401
10279,7,72,FV,Q019,FEMALE,46.7,44.1,49.2,2585
10280,7,45,PA,Q046,INCLESS15,18.9,15.5,22.9,999
10281,7,44,OWS,Q037,INC5075,39.3,34.0,44.8,672
10282,7,1,PA,Q046,RACEBLK,29.1,25.8,32.7,1492
10283,7,54,FV,Q019,INCLESS15,31.2,26.6,36.3,577
10284,7,37,PA,Q045,RACEHIS,12.8,8.9,18.0,304
10285,7,23,PA,Q047,EDUCOTEC,25.5,23.0,28.2,2325
10286,7,35,FV,Q019,AGEYR4554,21.3,17.7,25.3,835
10287,7,34,PA,Q047,INC75PLUS,19.7,17.7,21.8,3835
10288,7,8,PA,Q047,RACE2PLUS,22.0,14.4,32.2,133
10289,7,46,PA,Q046,RACE2PLUS,23.1,11.8,40.3,110
10290,7,44,PA,Q043,INC3550,50.6,44.5,56.8,504
10291,7,18,PA,Q045,RACEHIS,18.2,14.5,22.6,501
10292,7,31,PA,Q043,AGEYR4554,46.9,43.7,50.0,2011
10293,7,72,FV,Q018,AGEYR5564,53.1,48.3,57.9,742
10294,7,66,PA,Q044,EDUHS,13.6,7.7,22.7,112
10295,7,54,PA,Q044,RACEBLK,16.6,8.6,29.8,104
10296,7,26,OWS,Q036,RACEWHT,30.9,29.7,32.2,8186
10297,7,42,OWS,Q036,RACEASN,8.1,3.3,18.7,147
10298,7,15,PA,Q045,EDUHS,29.1,22.5,36.7,247
10299,7,50,PA,Q043,EDUCOGRAD,70.6,68.1,72.9,2577
10300,7,17,PA,Q047,RACE2PLUS,21.3,11.2,37.0,58
10301,7,39,OWS,Q036,INC3550,36.4,32.8,40.2,1506
10302,7,6,PA,Q045,AGEYR4554,35.1,31.6,38.8,1191
10303,7,39,FV,Q019,INCLESS15,32.6,27.7,37.9,947
10304,7,21,PA,Q045,EDUHSGRAD,26.7,23.9,29.7,2377
10305,7,15,PA,Q047,RACEWHT,16.7,14.3,19.4,2275
10306,7,46,PA,Q047,AGEYR1824,11.7,7.8,17.4,324
10307,7,24,PA,Q043,AGEYR5564,53.8,51.2,56.4,2729
10308,7,66,PA,Q045,EDUHS,25.4,17.3,35.5,115
10309,7,18,PA,Q045,AGEYR65PLUS,34.6,32.9,36.3,4716
10310,7,15,FV,Q018,AGEYR4554,37.4,33.8,41.1,1144
10311,7,19,FV,Q019,EDUCOTEC,18.0,16.1,20.0,2063
10312,7,50,PA,Q047,AGEYR3544,21.6,17.7,26.0,636
10313,7,29,PA,Q043,AGEYR3544,46.5,41.9,51.3,714
10314,5,66,PA,Q046,INC5075,38.5,29.0,48.8,197
10315,7,36,OWS,Q036,INCNR,21.7,18.8,25.0,1266
10316,7,35,PA,Q045,AGEYR4554,31.4,27.4,35.7,817
10317,7,50,PA,Q047,FEMALE,21.6,19.6,23.7,3273
10318,7,9,PA,Q043,INC3550,49.4,44.5,54.2,803
10319,7,5,FV,Q018,AGEYR2534,43.9,35.7,52.4,217
10320,7,54,PA,Q047,AGEYR2534,24.8,20.5,29.5,472
10321,7,22,PA,Q046,INC2535,20.7,15.9,26.6,353
10322,7,10,FV,Q018,RACEASN,28.4,16.5,44.3,76
10323,7,17,FV,Q018,AGEYR2534,34.2,29.9,38.8,601
10324,7,56,PA,Q045,INCLESS15,26.2,20.0,33.7,252
10325,7,48,PA,Q046,AGEYR1824,41.2,35.0,47.8,605
10326,7,13,PA,Q045,INCLESS15,23.1,18.5,28.4,503
10327,7,9,PA,Q046,INC3550,32.4,28.1,37.0,810
10328,7,50,PA,Q044,EDUCOGRAD,28.7,26.4,31.0,2554
10329,7,12,OWS,Q037,AGEYR3544,36.2,31.8,40.9,2135
10330,7,12,PA,Q046,INCNR,28.5,25.2,32.0,3287
10331,7,9,PA,Q044,RACEWHT,23.8,22.5,25.2,7335
10332,7,10,FV,Q019,AGEYR3544,18.9,14.8,23.8,412
10333,7,11,PA,Q045,RACE2PLUS,37.2,23.3,53.6,63
10334,7,4,PA,Q046,RACEHIS,29.6,27.3,32.1,2027
10335,7,13,PA,Q043,RACEHIS,41.3,36.1,46.6,452
10336,7,13,FV,Q018,INC5075,37.6,32.8,42.6,638
10337,7,39,OWS,Q037,INCNR,32.3,28.7,36.0,1605
10338,7,16,PA,Q043,INCNR,54.9,47.4,62.1,360
10339,7,9,PA,Q044,INC5075,21.7,18.7,25.2,1129
10340,7,15,PA,Q044,AGEYR1824,31.8,26.8,37.3,435
10341,7,33,OWS,Q037,INC75PLUS,37.6,34.4,40.8,1739
10342,7,19,OWS,Q037,RACEBLK,27.6,19.4,37.7,111
10343,7,9,PA,Q046,AGEYR4554,32.1,29.3,34.9,1697
10344,7,8,PA,Q047,EDUCOTEC,18.6,16.9,20.5,2393
10345,7,1,FV,Q019,AGEYR4554,16.2,13.5,19.2,984
10346,7,32,FV,Q018,EDUCOTEC,40.4,36.2,44.8,1203
10347,7,16,FV,Q018,INCLESS15,44.3,37.8,51.0,379
10348,7,22,OWS,Q037,INC1525,29.0,24.9,33.4,710
10349,7,39,PA,Q047,AGEYR2534,22.3,19.1,25.9,916
10350,7,25,PA,Q045,OVERALL,31.1,29.2,33.0,6087
10351,7,42,PA,Q045,RACEWHT,34.8,33.0,36.6,4829
10352,7,10,OWS,Q037,INCNR,29.4,24.6,34.7,602
10353,7,34,PA,Q047,RACEOTH,35.9,20.5,55.0,61
10354,7,54,FV,Q018,EDUHSGRAD,47.7,44.9,50.5,1801
10355,7,18,PA,Q043,INC75PLUS,56.1,53.9,58.3,3160
10356,7,35,PA,Q043,MALE,56.9,54.2,59.5,2553
10357,7,10,PA,Q047,RACEASN,26.7,15.6,41.8,79
10358,7,4,OWS,Q037,INC75PLUS,39.2,37.3,41.2,3808
10359,7,46,OWS,Q037,MALE,40.0,36.8,43.2,2969
10360,7,29,PA,Q044,RACENAA,30.5,17.6,47.4,56
10361,7,2,FV,Q018,EDUHSGRAD,42.2,36.2,48.4,778
10362,7,45,OWS,Q036,EDUCOTEC,35.5,33.1,38.0,2898
10363,7,38,PA,Q043,RACEHIS,29.9,18.6,44.3,56
10364,7,27,FV,Q019,RACEBLK,30.2,24.9,36.1,376
10365,7,55,PA,Q043,AGEYR1824,60.7,53.7,67.3,315
10366,7,51,FV,Q018,AGEYR3544,37.3,33.4,41.3,1035
10367,7,27,FV,Q018,INC3550,32.3,29.6,35.2,1973
10368,7,40,PA,Q045,INC1525,23.5,19.6,27.8,854
10369,7,9,OWS,Q036,EDUCOGRAD,20.5,19.0,22.0,4620
10370,7,10,PA,Q047,INC1525,42.1,36.6,47.8,567
10371,7,37,PA,Q047,RACEHIS,34.0,27.5,41.3,315
10372,7,27,FV,Q018,INC2535,36.9,33.7,40.3,1327
10373,7,6,OWS,Q036,RACEWHT,23.8,22.1,25.6,4463
10374,7,35,OWS,Q036,INCLESS15,35.9,31.2,40.9,792
10375,7,9,PA,Q046,INCLESS15,23.1,18.2,28.9,493
10376,7,40,OWS,Q036,AGEYR4554,44.0,40.0,48.0,775
10377,7,1,FV,Q019,EDUCOGRAD,11.2,9.5,13.1,1825
10378,7,51,PA,Q047,AGEYR65PLUS,32.3,30.1,34.5,3157
10379,7,4,PA,Q045,AGEYR65PLUS,41.3,39.7,42.9,5358
10380,7,26,FV,Q019,AGEYR4554,17.5,15.2,20.0,1585
10381,7,53,FV,Q019,INC1525,25.8,22.7,29.3,1307
10382,7,49,OWS,Q037,RACE2PLUS,27.8,17.7,40.7,89
10383,7,28,OWS,Q037,AGEYR5564,32.3,28.8,36.1,1084
10384,7,54,PA,Q045,AGEYR4554,26.7,23.5,30.2,845
10385,7,50,PA,Q044,AGEYR5564,19.1,16.6,21.8,1379
10386,7,51,PA,Q044,EDUCOGRAD,28.6,26.5,30.7,3804
10387,7,29,FV,Q018,RACEWHT,40.4,38.7,42.2,5906
10388,7,15,FV,Q019,AGEYR3544,22.7,19.2,26.6,937
10389,7,19,PA,Q044,AGEYR1824,30.5,25.8,35.5,455
10390,7,46,PA,Q044,AGEYR4554,15.0,11.5,19.4,945
10391,7,22,PA,Q045,INCLESS15,19.7,15.8,24.4,517
10392,7,4,OWS,Q036,RACEWHT,26.9,25.8,28.0,10211
10393,7,37,PA,Q044,RACEWHT,19.0,17.2,20.9,2910
10394,7,26,PA,Q044,AGEYR2534,21.7,18.9,24.7,1014
10395,7,31,PA,Q046,AGEYR1824,44.8,40.5,49.3,896
10396,7,55,OWS,Q037,INC5075,38.4,34.0,43.0,908
10397,7,56,FV,Q018,INC2535,41.9,35.6,48.6,372
10398,7,31,PA,Q046,INC3550,29.4,26.2,32.8,2145
10399,7,23,PA,Q043,RACE2PLUS,44.2,32.5,56.5,140
10400,7,8,FV,Q019,EDUCOTEC,16.9,15.1,18.8,2306
10401,7,40,FV,Q019,FEMALE,15.6,14.0,17.4,3417
10402,7,1,OWS,Q036,RACEWHT,33.6,31.7,35.5,4260
10403,4,66,OWS,Q037,AGEYR1824,33.2,26.3,41.0,283
10404,7,6,PA,Q047,RACEBLK,24.6,18.8,31.4,351
10405,7,19,OWS,Q036,RACE2PLUS,31.3,19.5,46.1,75
10406,7,17,PA,Q044,EDUCOTEC,23.5,20.8,26.5,1333
10407,7,50,FV,Q019,INCNR,13.8,10.5,17.8,802
10408,7,10,PA,Q044,MALE,22.4,19.7,25.4,1591
10409,7,35,PA,Q045,EDUCOGRAD,39.0,36.1,41.9,1964
10410,7,8,PA,Q045,RACEBLK,31.4,24.5,39.2,216
10411,7,47,PA,Q044,INCLESS15,10.1,6.6,15.0,536
10412,7,39,PA,Q046,OVERALL,29.2,27.9,30.5,11317
10413,7,34,PA,Q047,EDUHS,50.3,44.4,56.1,691
10414,7,66,OWS,Q036,INC5075,34.7,26.4,44.0,167
10415,7,4,FV,Q019,EDUCOTEC,18.6,17.1,20.1,4229
10416,7,53,PA,Q047,MALE,18.2,17.0,19.6,5646
10417,7,45,OWS,Q036,INC75PLUS,29.9,27.4,32.5,2339
10418,7,46,PA,Q046,AGEYR5564,20.6,17.3,24.3,1409
10419,7,40,FV,Q018,RACEWHT,45.9,44.0,47.8,4583
10420,7,2,PA,Q043,OVERALL,58.3,55.2,61.3,2868
10421,7,15,PA,Q047,INC2535,24.8,20.4,29.8,640
10422,5,72,OWS,Q037,RACEHIS,37.6,35.9,39.2,5104
10423,7,11,FV,Q018,AGEYR65PLUS,23.5,20.7,26.7,1153
10424,7,28,PA,Q046,INCNR,28.6,22.4,35.7,468
10425,7,25,FV,Q018,INCNR,32.8,28.9,36.9,1515
10426,7,55,FV,Q019,OVERALL,19.0,17.5,20.6,5252
10427,4,66,OWS,Q037,EDUCOTEC,38.0,32.6,43.7,565
10428,7,37,PA,Q047,EDUCOTEC,24.0,21.2,27.0,1296
10429,7,35,PA,Q045,AGEYR2534,30.4,25.8,35.4,555
10430,7,29,FV,Q018,AGEYR65PLUS,34.0,31.6,36.4,2724
10431,7,16,FV,Q019,EDUHS,29.4,23.1,36.6,265
10432,7,21,FV,Q018,RACEHIS,26.8,17.0,39.6,95
10433,7,37,OWS,Q037,EDUCOTEC,33.8,30.5,37.3,1261
10434,7,33,OWS,Q036,INCLESS15,36.5,28.2,45.7,315
10435,7,23,FV,Q019,INC1525,14.5,11.7,17.8,1429
10436,7,40,PA,Q045,AGEYR4554,22.7,19.3,26.4,750
10437,7,33,PA,Q045,AGEYR2534,28.3,22.4,35.2,320
10438,7,46,OWS,Q037,AGEYR4554,36.4,31.4,41.7,971
10439,7,34,PA,Q044,INC1525,16.1,12.4,20.7,1363
10440,7,28,PA,Q046,OVERALL,25.9,24.0,28.0,4466
10441,7,49,PA,Q044,AGEYR1824,28.5,25.0,32.2,894
10442,7,22,PA,Q043,INC2535,42.4,35.8,49.3,352
10443,7,55,OWS,Q037,FEMALE,28.3,26.0,30.6,2829
10444,7,55,PA,Q045,AGEYR65PLUS,44.3,41.0,47.5,1686
10445,7,72,FV,Q019,INC5075,36.6,26.9,47.5,122
10446,7,48,PA,Q043,RACEWHT,47.1,44.4,49.8,6462
10447,7,1,OWS,Q036,RACE2PLUS,38.6,26.5,52.3,109
10448,7,4,FV,Q019,EDUCOGRAD,12.0,11.0,13.1,5414
10449,7,29,FV,Q018,RACEASN,35.4,23.0,50.0,80
10450,7,23,OWS,Q036,INC2535,33.2,28.9,37.8,1060
10451,7,24,PA,Q046,INCLESS15,14.9,11.4,19.2,603
10452,7,9,PA,Q044,AGEYR3544,21.5,18.4,24.8,911
10453,7,56,PA,Q045,RACEWHT,35.2,33.3,37.2,3686
10454,7,53,PA,Q047,RACEBLK,19.2,14.0,25.7,215
10455,7,1,OWS,Q036,FEMALE,37.4,35.3,39.6,3638
10456,7,2,FV,Q018,MALE,43.6,39.4,48.0,1415
10457,7,32,PA,Q046,INCNR,29.3,24.1,35.1,569
10458,7,9,PA,Q047,AGEYR5564,23.9,21.7,26.1,2416
10459,7,46,PA,Q044,INC5075,18.8,14.7,23.7,1008
10460,7,10,FV,Q018,INCNR,32.8,27.9,38.0,651
10461,7,53,OWS,Q036,FEMALE,27.1,25.7,28.6,6291
10462,7,28,FV,Q018,EDUCOGRAD,38.3,34.8,41.8,1483
10463,7,26,OWS,Q037,AGEYR5564,36.9,34.5,39.5,2125
10464,7,18,PA,Q047,INC75PLUS,18.5,16.8,20.3,3244
10465,7,27,FV,Q019,EDUHSGRAD,22.1,20.3,23.9,3576
10466,7,37,PA,Q044,INC75PLUS,23.8,20.6,27.3,1071
10467,7,42,OWS,Q036,INC5075,34.4,30.3,38.7,874
10468,7,1,OWS,Q037,RACENAA,33.2,21.2,47.8,78
10469,7,72,PA,Q045,AGEYR65PLUS,9.8,8.0,12.1,1477
10470,7,1,OWS,Q036,INC5075,38.8,34.2,43.6,735
10471,7,49,PA,Q044,EDUHSGRAD,19.8,17.7,22.0,2399
10472,7,22,PA,Q044,EDUCOTEC,20.5,17.5,23.8,1086
10473,7,50,OWS,Q036,AGEYR65PLUS,27.4,24.9,30.0,2139
10474,7,45,FV,Q019,AGEYR3544,17.4,14.7,20.5,970
10475,7,5,FV,Q019,INC5075,20.1,14.7,27.0,569
10476,7,47,PA,Q044,EDUCOTEC,17.0,14.3,20.1,1263
10477,7,34,FV,Q019,AGEYR3544,18.6,15.3,22.4,1082
10478,7,55,PA,Q047,RACE2PLUS,17.1,7.2,35.2,57
10479,7,16,FV,Q018,INCNR,38.8,32.1,45.9,394
10480,7,42,OWS,Q036,RACEBLK,38.1,32.9,43.7,517
10481,7,38,PA,Q045,INCLESS15,25.0,19.3,31.7,373
10482,7,2,OWS,Q036,AGEYR3544,41.5,33.5,50.0,378
10483,7,46,OWS,Q036,RACEWHT,30.6,28.4,32.8,4993
10484,7,4,FV,Q018,AGEYR5564,37.3,35.1,39.5,2782
10485,7,44,OWS,Q037,OVERALL,34.9,33.0,36.8,5141
10486,7,54,OWS,Q036,RACE2PLUS,52.8,38.5,66.6,71
10487,7,9,PA,Q046,AGEYR1824,47.2,41.5,53.0,400
10488,7,22,PA,Q044,EDUHSGRAD,14.3,12.0,16.9,1217
10489,7,48,FV,Q018,MALE,42.4,39.6,45.3,4515
10490,7,10,OWS,Q036,EDUCOTEC,31.1,27.2,35.2,930
10491,7,25,OWS,Q037,AGEYR5564,37.4,33.3,41.7,1335
10492,7,15,PA,Q046,RACE2PLUS,36.2,33.2,39.4,1631
10493,7,33,OWS,Q036,AGEYR5564,28.4,25.4,31.6,1278
10494,7,47,PA,Q047,INC2535,32.5,27.1,38.4,513
10495,7,24,OWS,Q037,AGEYR4554,35.8,33.0,38.6,2050
10496,7,27,PA,Q047,RACEBLK,32.3,27.0,38.0,406
10497,7,15,PA,Q043,AGEYR2534,54.9,50.3,59.3,827
10498,7,26,FV,Q018,MALE,40.0,38.2,41.8,4505
10499,7,33,OWS,Q037,FEMALE,30.7,28.1,33.4,2858
10500,5,72,PA,Q046,AGEYR4554,7.5,5.8,9.8,862
10501,7,39,PA,Q043,AGEYR1824,51.9,46.6,57.2,539
10502,7,51,PA,Q047,INC75PLUS,15.3,13.4,17.5,3094
10503,7,18,OWS,Q036,EDUCOTEC,36.2,34.1,38.3,3296
10504,7,51,PA,Q047,INCLESS15,43.6,37.7,49.7,523
10505,7,54,OWS,Q036,EDUCOTEC,42.5,39.3,45.7,1316
10506,7,46,OWS,Q036,EDUCOTEC,32.1,28.5,35.9,1962
10507,7,45,FV,Q019,AGEYR65PLUS,20.0,18.4,21.7,4228
10508,7,72,PA,Q043,OVERALL,19.6,18.1,21.2,4331
10509,7,34,PA,Q045,AGEYR2534,26.8,22.5,31.6,803
10510,7,48,PA,Q045,EDUHSGRAD,23.5,20.3,27.1,2476
10511,7,54,PA,Q044,AGEYR4554,10.1,8.2,12.5,849
10512,7,24,OWS,Q036,INCLESS15,38.6,32.7,44.9,629
10513,7,10,FV,Q019,RACEASN,19.7,10.3,34.3,74
10514,7,23,PA,Q047,EDUHS,39.1,32.0,46.7,376
10515,7,5,PA,Q044,EDUCOGRAD,23.7,19.8,28.1,1380
10516,7,50,FV,Q018,INC1525,33.8,29.1,38.9,738
10517,7,8,OWS,Q037,RACEHIS,41.1,37.8,44.5,1112
10518,7,15,OWS,Q037,AGEYR4554,37.7,34.2,41.4,1162
10519,7,16,OWS,Q037,RACEHIS,34.3,27.3,42.1,273
10520,7,22,FV,Q019,MALE,24.3,21.8,27.0,1734
10521,7,39,PA,Q044,EDUCOTEC,19.1,17.1,21.3,2970
10522,7,11,PA,Q043,AGEYR5564,50.1,45.9,54.2,764
10523,7,56,OWS,Q037,AGEYR4554,34.9,30.3,39.8,527
10524,7,32,OWS,Q037,RACEHIS,41.8,36.5,47.3,516
10525,7,32,OWS,Q036,INC75PLUS,25.1,20.9,29.8,986
10526,7,51,PA,Q045,MALE,32.4,30.4,34.4,3768
10527,7,41,PA,Q044,MALE,23.9,21.8,26.2,2009
